House Vote #69 2020-02-12T16:59:00 - H.R. 2546: Protecting America’s Wilderness Act
person,state,district,vote,name,party
412728,VA,4,Yea,Rep. Donald McEachin [D],Democrat
412730,WA,7,Yea,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Nay,Rep. Mike Gallagher [R],Republican
412732,WY,0,Nay,Rep. Liz Cheney [R],Republican
412735,KS,4,Nay,Rep. Ron Estes [R],Republican
412736,MT,0,Nay,Rep. Greg Gianforte [R],Republican
412738,SC,5,Nay,Rep. Ralph Norman Jr. [R],Republican
412739,CA,34,Yea,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Nay,Rep. John Curtis [R],Republican
412744,PA,17,Yea,Rep. Conor Lamb [D],Democrat
412745,AZ,8,Nay,Rep. Debbie Lesko [R],Republican
412746,TX,27,Nay,Rep. Michael Cloud [R],Republican
412747,OH,12,Nay,Rep. Troy Balderson [R],Republican
412748,OK,1,Nay,Rep. Kevin Hern [R],Republican
412749,NY,25,Yea,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Yea,Rep. Mary Scanlon [D],Democrat
412751,PA,7,Yea,Rep. Susan Wild [D],Democrat
412753,AZ,9,Yea,Rep. Greg Stanton [D],Democrat
412754,CA,10,Yea,Rep. Josh Harder [D],Democrat
412755,CA,21,Yea,Rep. TJ Cox [D],Democrat
412757,CA,39,Yea,Rep. Gilbert Cisneros [D],Democrat
412758,CA,45,Yea,Rep. Katie Porter [D],Democrat
412759,CA,48,Yea,Rep. Harley Rouda [D],Democrat
412760,CA,49,Yea,Rep. Mike Levin [D],Democrat
412761,CO,2,Yea,Rep. Joe Neguse [D],Democrat
412762,CO,6,Yea,Rep. Jason Crow [D],Democrat
412763,CT,5,Yea,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Nay,Rep. Michael Waltz [R],Republican
412765,FL,15,Nay,Rep. Ross Spano [R],Republican
412766,FL,17,Nay,Rep. Gregory Steube [R],Republican
412767,FL,26,Yea,Rep. Debbie Mucarsel-Powell [D],Democrat
412768,FL,27,Yea,Rep. Donna Shalala [D],Democrat
412769,GA,6,Yea,Rep. Lucy McBath [D],Democrat
