House Vote #624 2019-11-15T12:04:00 - H.R. 4863: United States Export Finance Agency Act of 2019
person,state,district,vote,name,party
412694,FL,7,Aye,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,Aye,Rep. Darren Soto [D],Democrat
412696,FL,10,Aye,Rep. Val Demings [D],Democrat
412697,FL,13,Aye,Rep. Charlie Crist [D],Democrat
412698,FL,18,No,Rep. Brian Mast [R],Republican
412699,FL,19,No,Rep. Francis Rooney [R],Republican
412700,GA,3,No,Rep. Drew Ferguson IV [R],Republican
412701,IL,8,Aye,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,No,Rep. Jim Banks [R],Republican
412703,IN,9,No,Rep. Trey Hollingsworth [R],Republican
412704,KS,1,Not Voting,Rep. Roger Marshall [R],Republican
412705,LA,3,No,Rep. Clay Higgins [R],Republican
412706,LA,4,No,Rep. Mike Johnson [R],Republican
412707,MD,4,Aye,Rep. Anthony Brown [D],Democrat
412708,MD,8,Aye,Rep. Jamie Raskin [D],Democrat
412709,MI,1,No,Rep. Jack Bergman [R],Republican
412710,MI,10,No,Rep. Paul Mitchell [R],Republican
412712,NC,13,No,Rep. Ted Budd [R],Republican
412713,NE,2,No,Rep. Don Bacon [R],Republican
412714,NJ,5,Aye,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,Aye,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,Aye,Rep. Adriano Espaillat [D],Democrat
412721,PA,1,Aye,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,No,Rep. Lloyd Smucker [R],Republican
412724,TN,8,No,Rep. David Kustoff [R],Republican
412725,TX,15,Aye,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,No,Rep. Jodey Arrington [R],Republican
412728,VA,4,Not Voting,Rep. Donald McEachin [D],Democrat
412730,WA,7,Aye,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,No,Rep. Mike Gallagher [R],Republican
412732,WY,0,No,Rep. Liz Cheney [R],Republican
412735,KS,4,No,Rep. Ron Estes [R],Republican
412736,MT,0,No,Rep. Greg Gianforte [R],Republican
412738,SC,5,No,Rep. Ralph Norman Jr. [R],Republican
412739,CA,34,Aye,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,No,Rep. John Curtis [R],Republican
412744,PA,17,Aye,Rep. Conor Lamb [D],Democrat
412745,AZ,8,No,Rep. Debbie Lesko [R],Republican
412746,TX,27,No,Rep. Michael Cloud [R],Republican
412747,OH,12,No,Rep. Troy Balderson [R],Republican
412748,OK,1,No,Rep. Kevin Hern [R],Republican
412749,NY,25,Aye,Rep. Joseph Morelle [D],Democrat
412750,PA,5,Aye,Rep. Mary Scanlon [D],Democrat
412751,PA,7,Aye,Rep. Susan Wild [D],Democrat
412753,AZ,9,Aye,Rep. Greg Stanton [D],Democrat
412754,CA,10,Aye,Rep. Josh Harder [D],Democrat
412755,CA,21,Aye,Rep. TJ Cox [D],Democrat
412757,CA,39,Aye,Rep. Gilbert Cisneros [D],Democrat
412758,CA,45,Aye,Rep. Katie Porter [D],Democrat
